main_speaker,title,speaker_occupation,duration,languages,views,comments
Ken Robinson,Do schools kill creativity?,Author/educator,1164,60,47227110,4553
Al Gore,Averting the climate crisis,Climate advocate,977,43,3200520,265
David Pogue,Simplicity sells,Technology columnist,1286,26,1636292,124
Majora Carter,Greening the ghetto,Activist for environmental justice,1116,35,1697550,200
Hans Rosling,The best stats you've ever seen,Global health expert; data visionary,1190,48,12005869,593
Tony Robbins,Why we do what we do,Life coach; expert in leadership psychology,1305,36,20685401,672
Julia Sweeney,Letting go of God,"Actor, comedian, playwright",992,31,3769987,919
Joshua Prince-Ramus,Behind the design of Seattle's library,Architect,1198,19,967741,46
Dan Dennett,Let's teach religion -- all religion -- in schools,"Philosopher, cognitive scientist",1485,32,2567958,852
Rick Warren,A life of purpose,"Pastor, author",1262,31,3095993,900
Cameron Sinclair,My wish: A call for open-source architecture,"Co-founder, Architecture for Humanity",1414,27,1211416,79
Jehane Noujaim,My wish: A global day of film,Filmmaker,1538,20,387877,55
Larry Brilliant,My wish: Help me stop pandemics,"Epidemiologist, philanthropist",1550,24,693341,71
Jeff Han,The radical promise of the multi-touch interface,Human-computer interface designer,527,27,4531020,242
Nicholas Negroponte,One Laptop per Child,Tech visionary,1057,25,358304,99
Sirena Huang,An 11-year-old's magical violin,Violinist,1481,31,2702470,325
Jennifer Lin,"Improvising on piano, aged 14","Pianist, composer",1445,32,1628912,305
Amy Smith,Simple designs to save a life,"inventor, engineer",906,27,1415724,88
Ross Lovegrove,"Organic design, inspired by nature",Industrial designer,1170,22,1074081,163
Jimmy Wales,The birth of Wikipedia,Founder of Wikipedia,1201,32,1106561,84
Richard Baraniuk,The birth of the open-source learning revolution,Education visionary,1114,27,966439,108
Ze Frank,Nerdcore comedy,"Humorist, web artist",1136,26,6141440,185
Mena Trott,Meet the founder of the blog revolution,"Blogger; cofounder, Six Apart",1006,20,518624,50
Helen Fisher,"Why we love, why we cheat","Anthropologist, expert on love",1407,33,9260764,556
Eve Ensler,Happiness in body and soul,"Playwright, activist",1225,23,1131864,117
David Deutsch,Chemical scum that dream of distant quasars,Quantum physicist,1140,29,1096862,184
Richard Dawkins,Why the universe seems so strange,Evolutionary biologist,1316,36,2885999,507
Steven Levitt,The freakonomics of crack dealing,Economist,1275,25,2863214,95
Malcolm Gladwell,"Choice, happiness and spaghetti sauce",Writer,1050,37,7023562,355
Dan Gilbert,The surprising science of happiness,Psychologist; happiness expert,1276,43,14689301,970
Barry Schwartz,The paradox of choice,Psychologist,1177,45,10000702,991
Eva Vertes,Meet the future of cancer research,Neuroscience and cancer researcher,1129,26,1030267,213
Aubrey de Grey,A roadmap to end aging,Crusader against aging,1365,29,3277740,612
Iqbal Quadir,How mobile phones can fight poverty,"Founder, GrameenPhone",952,21,503517,74
Jacqueline Novogratz,Invest in Africa's own solutions,Investor and advocate for moral leadership,773,26,705389,58
Sasa Vucinic,Why we should invest in a free press,Nonprofit venture capitalist,1080,21,580891,43
Ashraf Ghani,How to rebuild a broken state,President-elect of Afghanistan,1125,24,809226,67
Burt Rutan,The real future of space exploration,Aircraft engineer,1177,28,2028451,186
Ben Saunders,Why did I ski to the North Pole?,Arctic explorer,1083,26,745231,57
Bono,My wish: Three actions for Africa,"Musician, activist",1672,24,718649,112
Edward Burtynsky,My wish: Manufactured landscapes and green education,Photographer,2065,22,975107,58
Robert Fischell,My wish: Three unusual medical inventions,Biomedical inventor,1609,20,382996,33
Peter Donnelly,How juries are fooled by statistics,Mathematician; statistician,1280,20,1053758,105
Michael Shermer,Why people believe weird things,Skeptic,805,41,5364639,494
Ray Kurzweil,The accelerating power of technology,"Inventor, futurist",1376,22,2434344,233
Kevin Kelly,How technology evolves,Digital visionary,1200,26,1536873,149
